Date    	Type 	Price 
1989-08 	GT-R (Series 1)	"¥4,450,000"
1990-02 	GT-R Nismo	"¥4,410,000"
1991-07 	GT-R (Series 2)	"¥4,450,000"
1991-09 	GT-R N1	?     
1993-02 	GT-R (Series 3)	"¥4,545,000"
 	V-Spec	"¥5,260,000"
  	V-Spec N1	?     
1994-02 	V-Spec II	"¥5,290,000"
   	V-Spec II N1	"¥5,446,000"
