Series	First VIN	Last VIN	Range Total
Series 1 (Pre-Production)	BNR34-000051	BNR34-000104	54
Series 1	BNR34-000201	BNR34-007131	6931
Series 2 (Pre-Production)	BNR34-010001	BNR34-010010	10
Series 2 (Early)	BNR34-010101	BNR34-010107	7
Series 2	BNR34-400001	BNR34-404495	4495
Great Britain (Pre-Production)	JN1GAPR34U0000001		1
Great Britain	JN1GAPR34U0000101	JN1GAPR34U0000180	80
Total 			11578
